run_id,point_index,temperature_C,time_min,dsc_mW_mg,mass_pct,purge1_ml_min,purge2_ml_min,protective_ml_min,sensitivity_uV_mW,segment
198,0,19.52700,0.00000,-8.077705e-003,100.00070,49.00000,,20.00000,0.83530,1
198,1,19.52000,0.00667,-7.933476e-003,100.02703,50.00000,,20.00000,0.83530,1
198,2,19.52600,0.01333,-7.981544e-003,100.03756,50.00000,,20.00000,0.83530,1
198,3,19.51600,0.02000,-7.981565e-003,100.04547,50.00000,,20.00000,0.83530,1
198,4,19.51600,0.02667,-7.933483e-003,100.05337,50.00000,,20.00000,0.83530,1
198,5,19.51200,0.03333,-7.981574e-003,100.06388,50.00000,,20.00000,0.83530,1
198,6,19.50600,0.04000,-7.933505e-003,100.07173,49.00000,,20.00000,0.83530,1
198,7,19.53300,0.04667,-7.933449e-003,100.07961,49.00000,,20.00000,0.83531,1
198,8,19.51900,0.05333,-7.981560e-003,100.09011,49.00000,,20.00000,0.83530,1
198,9,19.50800,0.06000,-8.221992e-003,100.09895,50.00000,,20.00000,0.83530,1
198,10,19.51300,0.06667,-8.318144e-003,100.10040,50.00000,,20.00000,0.83530,1
198,11,19.51000,0.07333,-8.270069e-003,100.10549,50.00000,,20.00000,0.83530,1
198,12,19.52500,0.08000,-8.221955e-003,100.11173,49.00000,,20.00000,0.83530,1
198,13,19.53000,0.08667,-8.221943e-003,100.11917,49.00000,,20.00000,0.83531,1
198,14,19.52700,0.09333,-8.125787e-003,100.12070,50.00000,,20.00000,0.83530,1
198,15,19.52300,0.10000,-8.077714e-003,100.12536,50.00000,,20.00000,0.83530,1
198,16,19.52000,0.10667,-8.029639e-003,100.13010,51.00000,,20.00000,0.83530,1
198,17,19.53100,0.11333,-8.077697e-003,100.14116,52.00000,,20.00000,0.83531,1
198,18,19.51100,0.12000,-8.077740e-003,100.14643,49.00000,,20.00000,0.83530,1
198,19,19.51400,0.12667,-7.885406e-003,100.14696,49.00000,,20.00000,0.83530,1
198,20,19.51200,0.13333,-7.837328e-003,100.15091,50.00000,,20.00000,0.83530,1
198,21,19.52100,0.14000,-7.981555e-003,100.15898,50.00000,,20.00000,0.83530,1
198,22,19.51400,0.14667,-8.029652e-003,100.16394,50.00000,,20.00000,0.83530,1
198,23,19.52400,0.15333,-7.981548e-003,100.16411,50.00000,,20.00000,0.83530,1
198,24,19.52600,0.16000,-8.029626e-003,100.16665,49.00000,,20.00000,0.83530,1
198,25,19.51800,0.16667,-7.981561e-003,100.17127,49.00000,,20.00000,0.83530,1
198,26,19.52700,0.17333,-8.029624e-003,100.17479,50.00000,,20.00000,0.83530,1
198,27,19.53100,0.18000,-8.029616e-003,100.17848,50.00000,,20.00000,0.83531,1
198,28,19.52900,0.18667,-8.029620e-003,100.18638,50.00000,,20.00000,0.83530,1
198,29,19.51000,0.19333,-7.981578e-003,100.19217,50.00000,,20.00000,0.83530,1
198,30,19.51600,0.20000,-7.981565e-003,100.19318,49.00000,,20.00000,0.83530,1
198,31,19.52400,0.20667,-8.077712e-003,100.19362,49.00000,,20.00000,0.83530,1
198,32,19.52300,0.21333,-8.077714e-003,100.19621,51.00000,,20.00000,0.83530,1
198,33,19.53400,0.22000,-8.077691e-003,100.20043,51.00000,,20.00000,0.83531,1
198,34,19.51500,0.22667,-7.933486e-003,100.20411,51.00000,,20.00000,0.83530,1
198,35,19.51800,0.23333,-7.693071e-003,100.21254,51.00000,,20.00000,0.83530,1
198,36,19.52600,0.24000,-7.789218e-003,100.21833,50.00000,,20.00000,0.83530,1
198,37,19.51500,0.24667,-7.837322e-003,100.21923,50.00000,,20.00000,0.83530,1
198,38,19.51000,0.25333,-7.885414e-003,100.21866,50.00000,,20.00000,0.83530,1
198,39,19.52700,0.26000,-8.029624e-003,100.21823,50.00000,,20.00000,0.83530,1
198,40,19.53000,0.26667,-8.077699e-003,100.21878,50.00000,,20.00000,0.83531,1
198,41,19.51600,0.27333,-8.029647e-003,100.22051,49.00000,,20.00000,0.83530,1
198,42,19.53300,0.28000,-7.885367e-003,100.22338,49.00000,,20.00000,0.83531,1
198,43,19.51800,0.28667,-7.933479e-003,100.22465,51.00000,,20.00000,0.83530,1
198,44,19.53300,0.29333,-7.933449e-003,100.22546,50.00000,,20.00000,0.83531,1
198,45,19.52700,0.30000,-7.885379e-003,100.22654,50.00000,,20.00000,0.83530,1
198,46,19.53500,0.30667,-7.885363e-003,100.22798,49.00000,,20.00000,0.83531,1
198,47,19.52800,0.31333,-7.981541e-003,100.23009,49.00000,,20.00000,0.83530,1
198,48,19.53800,0.32000,-8.077683e-003,100.23219,51.00000,,20.00000,0.83531,1
198,49,19.52400,0.32667,-8.173875e-003,100.23588,51.00000,,20.00000,0.83530,1
198,50,19.52700,0.33333,-8.270031e-003,100.23904,51.00000,,20.00000,0.83530,1
198,51,19.52500,0.34000,-8.270036e-003,100.24197,52.00000,,20.00000,0.83530,1
198,52,19.52800,0.34667,-8.270030e-003,100.24320,52.00000,,20.00000,0.83530,1
198,53,19.53000,0.35333,-8.366188e-003,100.24163,49.00000,,20.00000,0.83531,1
198,54,19.53500,0.36000,-8.221934e-003,100.23977,49.00000,,20.00000,0.83531,1
198,55,19.53100,0.36667,-8.125779e-003,100.23808,50.00000,,20.00000,0.83531,1
198,56,19.54400,0.37333,-8.077670e-003,100.23686,50.00000,,20.00000,0.83531,1
198,57,19.54700,0.38000,-7.981501e-003,100.23711,49.00000,,20.00000,0.83531,1
198,58,19.53800,0.38667,-8.077683e-003,100.23743,49.00000,,20.00000,0.83531,1
198,59,19.53300,0.39333,-7.933449e-003,100.23809,50.00000,,20.00000,0.83531,1
198,60,19.54500,0.40000,-7.981505e-003,100.24136,50.00000,,20.00000,0.83531,1
198,61,19.54800,0.40667,-8.077661e-003,100.24291,50.00000,,20.00000,0.83531,1
198,62,19.56400,0.41333,-7.933385e-003,100.24383,50.00000,,20.00000,0.83531,1
198,63,19.53900,0.42000,-8.077680e-003,100.24541,49.00000,,20.00000,0.83531,1
198,64,19.54500,0.42667,-8.173830e-003,100.24593,49.00000,,20.00000,0.83531,1
198,65,19.54400,0.43333,-8.221914e-003,100.24734,49.00000,,20.00000,0.83531,1
198,66,19.54500,0.44000,-8.414237e-003,100.24774,49.00000,,20.00000,0.83531,1
198,67,19.55100,0.44667,-8.558467e-003,100.24816,50.00000,,20.00000,0.83531,1
198,68,19.55800,0.45333,-8.750777e-003,100.24672,51.00000,,20.00000,0.83531,1
198,69,19.55100,0.46000,-8.846955e-003,100.24622,49.00000,,20.00000,0.83531,1
198,70,19.55400,0.46667,-8.846948e-003,100.24630,49.00000,,20.00000,0.83531,1
198,71,19.56000,0.47333,-8.895016e-003,100.24609,50.00000,,20.00000,0.83531,1
198,72,19.56800,0.48000,-8.943078e-003,100.24625,50.00000,,20.00000,0.83531,1
