run_id,point_index,temperature_C,time_min,dsc_mW_mg,mass_pct,purge1_ml_min,purge2_ml_min,protective_ml_min,sensitivity_uV_mW,segment
105,0,47.58400,0.00000,6.091076e-002,99.99835,,50.00000,20.00000,1.18338,1
105,1,47.55000,0.01000,6.082416e-002,99.99849,,50.00000,20.00000,1.18337,1
105,2,47.53100,0.02000,6.091179e-002,99.99863,,50.00000,20.00000,1.18336,1
105,3,47.49800,0.03000,6.108697e-002,99.99876,,50.00000,20.00000,1.18335,1
105,4,47.49600,0.04000,6.117428e-002,99.99889,,50.00000,20.00000,1.18335,1
105,5,47.47000,0.05000,6.091298e-002,99.99902,,50.00000,20.00000,1.18334,1
105,6,47.45500,0.06000,6.091328e-002,99.99915,,50.00000,20.00000,1.18333,1
105,7,47.43100,0.07000,6.108828e-002,99.99929,,50.00000,20.00000,1.18332,1
105,8,47.39600,0.08000,6.073989e-002,99.99943,,50.00000,20.00000,1.18331,1
105,9,47.38400,0.09000,6.065285e-002,99.99955,,50.00000,20.00000,1.18331,1
105,10,47.36400,0.10000,6.065325e-002,99.99967,,50.00000,20.00000,1.18330,1
105,11,47.35600,0.11000,6.091521e-002,99.99980,,50.00000,20.00000,1.18329,1
105,12,47.32200,0.12000,6.074134e-002,99.99993,,50.00000,20.00000,1.18328,1
105,13,47.31100,0.13000,6.056701e-002,100.00006,,50.00000,20.00000,1.18328,1
105,14,47.27800,0.14000,6.082947e-002,100.00019,,50.00000,20.00000,1.18327,1
105,15,47.24600,0.15000,6.083009e-002,100.00031,,50.00000,20.00000,1.18325,1
105,16,47.23700,0.16000,6.074299e-002,99.97338,,50.00000,20.00000,1.18325,1
105,17,47.22900,0.17000,6.083042e-002,99.97351,,50.00000,20.00000,1.18325,1
105,18,47.19700,0.18000,6.056922e-002,99.97363,,50.00000,20.00000,1.18323,1
105,19,47.17300,0.19000,6.074425e-002,99.97375,,50.00000,20.00000,1.18323,1
105,20,47.15600,0.20000,6.048275e-002,99.97387,,50.00000,20.00000,1.18322,1
105,21,47.14200,0.21000,6.039574e-002,99.97400,,50.00000,20.00000,1.18321,1
105,22,47.12300,0.22000,6.022156e-002,99.97412,,50.00000,20.00000,1.18321,1
105,23,47.09100,0.23000,5.943667e-002,99.97424,,50.00000,20.00000,1.18319,1
105,24,47.07600,0.24000,5.987335e-002,99.97436,,50.00000,20.00000,1.18319,1
105,25,47.05600,0.25000,5.996102e-002,99.97448,,50.00000,20.00000,1.18318,1
105,26,47.03900,0.26000,5.987406e-002,99.97460,,50.00000,20.00000,1.18317,1
