run_id,point_index,temperature_C,time_min,dsc_mW_mg,mass_pct,purge1_ml_min,purge2_ml_min,protective_ml_min,sensitivity_uV_mW,segment
197,0,28.05600,0.00000,-4.775329e-002,99.64726,49.00000,,20.00000,0.87766,1
197,1,28.06800,0.00667,-4.810301e-002,99.65616,49.00000,,20.00000,0.87767,1
197,2,28.07700,0.01333,-4.836530e-002,99.65739,49.00000,,20.00000,0.87767,1
197,3,28.08100,0.02000,-4.880256e-002,99.65891,49.00000,,20.00000,0.87767,1
197,4,28.07500,0.02667,-4.923992e-002,99.66025,50.00000,,20.00000,0.87767,1
197,5,28.08700,0.03333,-4.976456e-002,99.66041,50.00000,,20.00000,0.87767,1
197,6,28.08700,0.04000,-4.976456e-002,99.66207,49.00000,,20.00000,0.87767,1
197,7,28.11200,0.04667,-5.063890e-002,99.66374,49.00000,,20.00000,0.87767,1
197,8,28.11800,0.05333,-5.090122e-002,99.66469,50.00000,,20.00000,0.87767,1
197,9,28.11300,0.06000,-5.116364e-002,99.65736,50.00000,,20.00000,0.87767,1
197,10,28.10800,0.06667,-5.142608e-002,99.65609,50.00000,,20.00000,0.87767,1
197,11,28.13000,0.07333,-5.160076e-002,99.65568,50.00000,,20.00000,0.87768,1
197,12,28.15100,0.08000,-5.168800e-002,99.65513,51.00000,,20.00000,0.87768,1
197,13,28.13300,0.08667,-5.186311e-002,99.65392,51.00000,,20.00000,0.87768,1
197,14,28.14500,0.09333,-5.273757e-002,99.65454,49.00000,,20.00000,0.87768,1
197,15,28.15100,0.10000,-5.299988e-002,99.65459,49.00000,,20.00000,0.87768,1
197,16,28.15900,0.10667,-5.299980e-002,99.65565,49.00000,,20.00000,0.87768,1
197,17,28.18300,0.11333,-5.299954e-002,99.65672,50.00000,,20.00000,0.87769,1
197,18,28.18600,0.12000,-5.299950e-002,99.65677,49.00000,,20.00000,0.87769,1
197,19,28.18700,0.12667,-5.326187e-002,99.65782,50.00000,,20.00000,0.87769,1
197,20,28.20100,0.13333,-5.378646e-002,99.65887,49.00000,,20.00000,0.87769,1
197,21,28.19800,0.14000,-5.509836e-002,99.65992,49.00000,,20.00000,0.87769,1
197,22,28.21300,0.14667,-5.518565e-002,99.65997,49.00000,,20.00000,0.87769,1
197,23,28.23000,0.15333,-5.509800e-002,99.66102,51.00000,,20.00000,0.87769,1
197,24,28.22100,0.16000,-5.527302e-002,99.66106,52.00000,,20.00000,0.87769,1
197,25,28.23300,0.16667,-5.553526e-002,99.66212,52.00000,,20.00000,0.87770,1
197,26,28.25400,0.17333,-5.562248e-002,99.66216,49.00000,,20.00000,0.87770,1
197,27,28.23300,0.18000,-5.588508e-002,99.66220,49.00000,,20.00000,0.87770,1
197,28,28.25700,0.18667,-5.605973e-002,99.66326,49.00000,,20.00000,0.87770,1
197,29,28.26600,0.19333,-5.649691e-002,99.66331,50.00000,,20.00000,0.87770,1
197,30,28.27500,0.20000,-5.684663e-002,99.66335,51.00000,,20.00000,0.87770,1
197,31,28.27800,0.20667,-5.737133e-002,99.66440,51.00000,,20.00000,0.87770,1
197,32,28.28100,0.21333,-5.789604e-002,99.66444,49.00000,,20.00000,0.87770,1
197,33,28.29200,0.22000,-5.789591e-002,99.66449,49.00000,,20.00000,0.87771,1
197,34,28.30100,0.22667,-5.798326e-002,99.66555,50.00000,,20.00000,0.87771,1
197,35,28.30500,0.23333,-5.815812e-002,99.66560,50.00000,,20.00000,0.87771,1
197,36,28.32000,0.24000,-5.894505e-002,99.66667,50.00000,,20.00000,0.87771,1
197,37,28.32600,0.24667,-5.955716e-002,99.66672,50.00000,,20.00000,0.87771,1
197,38,28.33400,0.25333,-5.981943e-002,99.66778,50.00000,,20.00000,0.87771,1
197,39,28.35700,0.26000,-5.990661e-002,99.66784,49.00000,,20.00000,0.87772,1
197,40,28.34600,0.26667,-5.981929e-002,99.66889,49.00000,,20.00000,0.87772,1
197,41,28.37200,0.27333,-5.990643e-002,99.66994,49.00000,,20.00000,0.87772,1
197,42,28.35700,0.28000,-6.008152e-002,99.66999,51.00000,,20.00000,0.87772,1
197,43,28.37600,0.28667,-6.069347e-002,99.67104,51.00000,,20.00000,0.87772,1
197,44,28.37900,0.29333,-6.113071e-002,99.67109,51.00000,,20.00000,0.87772,1
197,45,28.39200,0.30000,-6.130546e-002,99.67216,51.00000,,20.00000,0.87772,1
