run_id,point_index,temperature_C,time_min,dsc_mW_mg,mass_pct,purge1_ml_min,purge2_ml_min,protective_ml_min,sensitivity_uV_mW,segment
201,0,22.00900,0.00000,-1.136964e-002,100.00043,50.00000,,20.00000,0.72908,1
201,1,21.99500,0.00667,-1.164303e-002,100.00015,49.00000,,20.00000,0.72907,1
201,2,21.98900,0.01333,-1.180705e-002,99.99905,49.00000,,20.00000,0.72907,1
201,3,22.01800,0.02000,-1.186154e-002,99.99700,49.00000,,20.00000,0.72908,1
201,4,22.00100,0.02667,-1.191630e-002,99.99448,50.00000,,20.00000,0.72908,1
201,5,22.01200,0.03333,-1.191624e-002,99.99223,50.00000,,20.00000,0.72908,1
201,6,22.01800,0.04000,-1.186154e-002,99.99068,49.00000,,20.00000,0.72908,1
201,7,22.01800,0.04667,-1.186154e-002,99.98988,49.00000,,20.00000,0.72908,1
201,8,22.00600,0.05333,-1.180695e-002,99.98964,49.00000,,20.00000,0.72908,1
201,9,22.02200,0.06000,-1.169753e-002,99.98961,50.00000,,20.00000,0.72908,1
201,10,22.01500,0.06667,-1.158825e-002,99.98962,50.00000,,20.00000,0.72908,1
201,11,22.01600,0.07333,-1.142426e-002,99.98962,50.00000,,20.00000,0.72908,1
201,12,22.00300,0.08000,-1.126035e-002,99.98962,50.00000,,20.00000,0.72908,1
201,13,22.02000,0.08667,-1.126025e-002,99.98962,49.00000,,20.00000,0.72908,1
201,14,22.00900,0.09333,-1.136964e-002,99.98963,49.00000,,20.00000,0.72908,1
201,15,22.00700,0.10000,-1.142431e-002,99.98963,50.00000,,20.00000,0.72908,1
201,16,22.01100,0.10667,-1.147895e-002,99.98964,50.00000,,20.00000,0.72908,1
201,17,21.99500,0.11333,-1.147904e-002,99.98962,50.00000,,20.00000,0.72907,1
201,18,22.00300,0.12000,-1.147900e-002,99.98920,50.00000,,20.00000,0.72908,1
201,19,21.99100,0.12667,-1.153373e-002,99.98784,50.00000,,20.00000,0.72907,1
201,20,22.01500,0.13333,-1.147893e-002,99.98582,49.00000,,20.00000,0.72908,1
201,21,22.00600,0.14000,-1.158830e-002,99.98405,49.00000,,20.00000,0.72908,1
201,22,22.02000,0.14667,-1.158822e-002,99.98294,49.00000,,20.00000,0.72908,1
201,23,22.01500,0.15333,-1.164291e-002,99.98233,50.00000,,20.00000,0.72908,1
201,24,22.01700,0.16000,-1.169756e-002,99.98213,50.00000,,20.00000,0.72908,1
201,25,22.00400,0.16667,-1.164298e-002,99.98213,50.00000,,20.00000,0.72908,1
201,26,21.99700,0.17333,-1.169768e-002,99.98206,50.00000,,20.00000,0.72907,1
201,27,22.02100,0.18000,-1.158822e-002,99.98185,49.00000,,20.00000,0.72908,1
201,28,22.01200,0.18667,-1.164293e-002,99.98164,49.00000,,20.00000,0.72908,1
201,29,22.01400,0.19333,-1.175224e-002,99.98157,50.00000,,20.00000,0.72908,1
201,30,22.01500,0.20000,-1.175224e-002,99.98157,50.00000,,20.00000,0.72908,1
201,31,22.00900,0.20667,-1.169761e-002,99.98157,49.00000,,20.00000,0.72908,1
201,32,22.00800,0.21333,-1.169762e-002,99.98158,49.00000,,20.00000,0.72908,1
201,33,22.02300,0.22000,-1.147888e-002,99.98159,49.00000,,20.00000,0.72908,1
201,34,22.00400,0.22667,-1.142433e-002,99.98159,49.00000,,20.00000,0.72908,1
201,35,21.99200,0.23333,-1.153372e-002,99.98159,50.00000,,20.00000,0.72907,1
201,36,21.99100,0.24000,-1.164305e-002,99.98134,50.00000,,20.00000,0.72907,1
201,37,22.00400,0.24667,-1.169764e-002,99.98015,50.00000,,20.00000,0.72908,1
201,38,21.99700,0.25333,-1.164302e-002,99.97759,50.00000,,20.00000,0.72907,1
201,39,22.00800,0.26000,-1.158829e-002,99.97395,49.00000,,20.00000,0.72908,1
201,40,22.00800,0.26667,-1.164295e-002,99.96990,49.00000,,20.00000,0.72908,1
201,41,22.02000,0.27333,-1.175221e-002,99.96617,51.00000,,20.00000,0.72908,1
201,42,22.02300,0.28000,-1.191617e-002,99.96348,51.00000,,20.00000,0.72908,1
201,43,22.03200,0.28667,-1.208010e-002,99.96189,52.00000,,20.00000,0.72909,1
201,44,22.03000,0.29333,-1.213478e-002,99.96102,52.00000,,20.00000,0.72909,1
201,45,22.03000,0.30000,-1.213478e-002,99.96074,49.00000,,20.00000,0.72909,1
201,46,22.02100,0.30667,-1.197085e-002,99.96074,49.00000,,20.00000,0.72908,1
201,47,22.02000,0.31333,-1.191619e-002,99.96072,50.00000,,20.00000,0.72908,1
