run_id,point_index,temperature_C,time_min,dsc_mW_mg,mass_pct,purge1_ml_min,purge2_ml_min,protective_ml_min,sensitivity_uV_mW,segment
106,0,47.50600,0.00000,-0.10568,99.99881,,50.00000,20.00000,1.18335,1
106,1,47.48700,0.01000,-0.10545,99.99158,,50.00000,20.00000,1.18334,1
106,2,47.48200,0.02000,-0.10537,99.98557,,50.00000,20.00000,1.18334,1
106,3,47.47600,0.03000,-0.10545,99.98198,,50.00000,20.00000,1.18334,1
106,4,47.46300,0.04000,-0.10545,99.97717,,50.00000,20.00000,1.18334,1
106,5,47.45600,0.05000,-0.10498,99.96873,,50.00000,20.00000,1.18333,1
106,6,47.45200,0.06000,-0.10381,99.96393,,50.00000,20.00000,1.18333,1
106,7,47.44200,0.07000,-0.10373,99.95914,,50.00000,20.00000,1.18333,1
106,8,47.43300,0.08000,-0.10349,99.95435,,50.00000,20.00000,1.18332,1
106,9,47.41800,0.09000,-0.10302,99.94955,,50.00000,20.00000,1.18332,1
106,10,47.39200,0.10000,-0.10248,99.94596,,50.00000,20.00000,1.18331,1
106,11,47.39400,0.11000,-0.10217,99.94238,,50.00000,20.00000,1.18331,1
106,12,47.38500,0.12000,-0.10177,99.93758,,50.00000,20.00000,1.18331,1
106,13,47.36800,0.13000,-0.10138,99.93399,,50.00000,20.00000,1.18330,1
106,14,47.37500,0.14000,-0.10107,99.93040,,50.00000,20.00000,1.18330,1
106,15,47.35200,0.15000,-0.10045,99.92681,,50.00000,20.00000,1.18329,1
106,16,47.35300,0.16000,-9.989780e-002,99.92323,,50.00000,20.00000,1.18329,1
106,17,47.34200,0.17000,-9.966347e-002,99.92571,,50.00000,20.00000,1.18329,1
106,18,47.32200,0.18000,-9.935119e-002,99.92333,,50.00000,20.00000,1.18328,1
106,19,47.30900,0.19000,-9.888223e-002,99.91975,,50.00000,20.00000,1.18328,1
106,20,47.31500,0.20000,-9.841266e-002,99.91738,,50.00000,20.00000,1.18328,1
106,21,47.29700,0.21000,-9.786562e-002,99.90894,,50.00000,20.00000,1.18327,1
106,22,47.28200,0.22000,-9.778786e-002,99.90292,,50.00000,20.00000,1.18327,1
106,23,47.28200,0.23000,-9.724025e-002,99.89570,,50.00000,20.00000,1.18327,1
106,24,47.27200,0.24000,-9.692764e-002,99.88969,,50.00000,20.00000,1.18326,1
106,25,47.25900,0.25000,-9.638043e-002,99.88732,,50.00000,20.00000,1.18326,1
106,26,47.23900,0.26000,-9.606812e-002,99.88495,,50.00000,20.00000,1.18325,1
106,27,47.23900,0.27000,-9.575519e-002,99.88257,,50.00000,20.00000,1.18325,1
106,28,47.23000,0.28000,-9.591194e-002,99.87898,,50.00000,20.00000,1.18325,1
106,29,47.21900,0.29000,-9.520819e-002,99.87538,,50.00000,20.00000,1.18324,1
106,30,47.20500,0.30000,-9.489569e-002,99.87057,,50.00000,20.00000,1.18324,1
106,31,47.21200,0.31000,-9.442608e-002,99.86576,,50.00000,20.00000,1.18324,1
106,32,47.19900,0.32000,-9.403532e-002,99.86216,,50.00000,20.00000,1.18324,1
106,33,47.18800,0.33000,-9.458328e-002,99.85856,,50.00000,20.00000,1.18323,1
106,34,47.19200,0.34000,-9.387906e-002,99.85619,,50.00000,20.00000,1.18323,1
106,35,47.17900,0.35000,-9.309713e-002,99.85260,,50.00000,20.00000,1.18323,1
106,36,47.16600,0.36000,-9.325398e-002,99.84901,,50.00000,20.00000,1.18322,1
106,37,47.14000,0.37000,-9.333300e-002,99.84542,,50.00000,20.00000,1.18321,1
106,38,47.14500,0.38000,-9.317638e-002,99.84183,,50.00000,20.00000,1.18321,1
106,39,47.13600,0.39000,-9.215961e-002,99.83824,,50.00000,20.00000,1.18321,1
106,40,47.12600,0.40000,-9.215991e-002,99.83465,,50.00000,20.00000,1.18321,1
106,41,47.12600,0.41000,-9.239461e-002,99.83106,,50.00000,20.00000,1.18321,1
106,42,47.11100,0.42000,-9.200388e-002,99.82867,,50.00000,20.00000,1.18320,1
106,43,47.09700,0.43000,-9.161313e-002,99.82507,,50.00000,20.00000,1.18320,1
106,44,47.09300,0.44000,-9.114384e-002,99.82148,,50.00000,20.00000,1.18319,1
106,45,47.08800,0.45000,-9.137868e-002,99.81910,,50.00000,20.00000,1.18319,1
106,46,47.08800,0.46000,-9.137868e-002,99.81672,,50.00000,20.00000,1.18319,1
106,47,47.07300,0.47000,-9.122265e-002,99.81314,,50.00000,20.00000,1.18319,1
106,48,47.06300,0.48000,-9.091000e-002,99.81077,,50.00000,20.00000,1.18318,1
106,49,47.04800,0.49000,-9.051926e-002,99.80597,,50.00000,20.00000,1.18318,1
