R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
1|15,141.5,3.375,0.02385,24.88,49.58,45.01,1|15,141.5,30.92,0.2185,24.84,64.42,45,1|15,141.5,58.62,0.4143,25.28,47.22,45,1|15,141.5,163.7,1.157,25.42,48.15,45.01,1|15,141.5,167.3,1.182,25.56,90.79,90.01,1|15,141.5,30.32,0.2143,25.03,96.22,90.01
1|16,151.6,3.497,0.02307,24.88,52.58,48.01,1|16,151.6,32.27,0.2128,24.83,67.42,48,1|16,151.6,61.05,0.4027,25.28,50.22,48,1|16,151.6,169.5,1.118,25.43,51.15,48.01,1|16,151.6,173.6,1.145,25.56,96.79,96.01,1|16,151.6,31.18,0.2057,25.04,102.2,96.01
1|17,161.7,3.65,0.02258,24.89,55.58,51.01,1|17,161.7,33.66,0.2081,24.83,70.42,51,1|17,161.7,63.27,0.3913,25.28,53.22,51,1|17,161.7,175.2,1.084,25.43,54.15,51.01,1|17,161.7,179.5,1.11,25.58,102.8,102,1|17,161.7,32.53,0.2012,25.04,108.2,102
1|18,171.8,3.885,0.02261,24.89,58.58,54.01,1|18,171.8,35.16,0.2046,24.83,73.42,54,1|18,171.8,65.65,0.3821,25.28,56.22,54,1|18,171.8,180.7,1.052,25.42,57.15,54.01,1|18,171.8,184.8,1.076,25.56,108.8,108,1|18,171.8,34.04,0.1981,25.04,114.2,108
1|19,181.9,3.977,0.02186,24.89,61.58,57.01,1|19,181.9,36.24,0.1993,24.84,76.42,57,1|19,181.9,67.92,0.3734,25.29,59.22,57,1|19,181.9,186,1.023,25.42,60.15,57.01,1|19,181.9,190.1,1.045,25.56,114.8,114,1|19,181.9,35.29,0.194,25.04,120.2,114
1|20,192,4.078,0.02124,24.89,64.58,60.01,1|20,192,36.82,0.1918,24.83,79.42,60,1|20,192,70.19,0.3656,25.28,62.22,60,1|20,192,191.2,0.9957,25.43,63.15,60.01,1|20,192,195.3,1.017,25.56,120.8,120,1|20,192,36.46,0.1899,25.06,126.2,120
1|21,202.1,4.362,0.02158,24.89,67.58,63.01,1|21,202.1,37.92,0.1876,24.84,82.42,63,1|21,202.1,72.21,0.3573,25.28,65.22,63,1|21,202.1,196.1,0.9704,25.43,66.15,63.01,1|21,202.1,200.2,0.9907,25.57,126.8,126,1|21,202.1,37.51,0.1856,25.05,132.2,126
1|22,212.2,4.574,0.02155,24.89,70.58,66.01,1|22,212.2,39.05,0.184,24.82,85.42,66,1|22,212.2,74.25,0.3499,25.28,68.22,66,1|22,212.2,200.9,0.9468,25.43,69.15,66.01,1|22,212.2,204.9,0.9657,25.55,132.8,132,1|22,212.2,38.56,0.1817,25.05,138.2,132
1|23,222.3,5.437,0.02446,24.89,73.58,69.01,1|23,222.3,40.13,0.1805,24.84,88.42,69,1|23,222.3,76.01,0.3419,25.28,71.22,69,1|23,222.3,205.5,0.9244,25.42,72.15,69.01,1|23,222.3,209.4,0.9418,25.56,138.8,138,1|23,222.3,39.57,0.178,25.04,144.2,138
1|24,232.4,5.583,0.02402,24.9,76.58,72.01,1|24,232.4,41.24,0.1775,24.84,91.42,72,1|24,232.4,77.86,0.335,25.29,74.22,72,1|24,232.4,209.9,0.9034,25.42,75.15,72.01,1|24,232.4,213.6,0.919,25.57,144.8,144,1|24,232.4,40.67,0.175,25.05,150.2,144
