R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
1|71,707.1,12.37,0.0175,24.89,217.6,213,1|71,707.1,72.47,0.1025,24.85,232.4,213,1|71,707.1,134.3,0.1899,25.33,215.2,213,1|71,707.1,317.2,0.4486,25.45,216.1,213,1|71,707.1,310.5,0.4391,25.63,426.8,426,1|71,707.1,68.95,0.09751,25.14,432.2,426
1|72,717.2,12.91,0.01799,24.91,220.6,216,1|72,717.2,72.92,0.1017,24.86,235.4,216,1|72,717.2,134.9,0.188,25.32,218.2,216,1|72,717.2,317.3,0.4424,25.45,219.1,216,1|72,717.2,312.8,0.4362,25.62,432.8,432,1|72,717.2,69.49,0.09689,25.1,438.2,432
1|73,727.3,12.79,0.01759,24.91,223.6,219,1|73,727.3,73.36,0.1009,24.87,238.4,219,1|73,727.3,135.5,0.1864,25.29,221.2,219,1|73,727.3,317.1,0.4361,25.44,222.1,219,1|73,727.3,315,0.4331,25.58,438.8,438,1|73,727.3,70.06,0.09633,25.1,444.2,438
1|74,737.4,12.82,0.01739,24.91,226.6,222,1|74,737.4,73.85,0.1001,24.86,241.4,222,1|74,737.4,136.4,0.185,25.33,224.2,222,1|74,737.4,318.6,0.4321,25.47,225.1,222,1|74,737.4,314.6,0.4267,25.59,444.8,444,1|74,737.4,70.08,0.09503,25.12,450.2,444
1|75,747.5,12.85,0.0172,24.9,229.6,225,1|75,747.5,74.13,0.09917,24.82,244.4,225,1|75,747.5,137.5,0.1839,25.3,227.2,225,1|75,747.5,320.2,0.4284,25.46,228.1,225,1|75,747.5,316.5,0.4234,25.58,450.8,450,1|75,747.5,70.38,0.09416,25.1,456.2,450
1|76,757.6,13,0.01716,24.93,232.6,228,1|76,757.6,74.25,0.098,24.84,247.4,228,1|76,757.6,138.4,0.1827,25.36,230.2,228,1|76,757.6,322.4,0.4255,25.45,231.1,228,1|76,757.6,319.1,0.4212,25.6,456.8,456,1|76,757.6,70.76,0.09341,25.13,462.2,456
1|77,767.7,13.23,0.01723,24.94,235.6,231,1|77,767.7,74.43,0.09696,24.88,250.4,231,1|77,767.7,139.1,0.1812,25.33,233.2,231,1|77,767.7,324.4,0.4226,25.46,234.1,231,1|77,767.7,320.9,0.418,25.65,462.8,462,1|77,767.7,71,0.09249,25.11,468.2,462
1|78,777.8,13.31,0.01711,24.89,238.6,234,1|78,777.8,74.81,0.09619,24.87,253.4,234,1|78,777.8,139.8,0.1797,25.28,236.2,234,1|78,777.8,324.5,0.4171,25.5,237.1,234,1|78,777.8,324.1,0.4167,25.64,468.8,468,1|78,777.8,71.34,0.09172,25.15,474.2,468
1|79,787.9,13.55,0.0172,24.86,241.6,237,1|79,787.9,75.56,0.0959,24.87,256.4,237,1|79,787.9,140.5,0.1783,25.28,239.2,237,1|79,787.9,323.7,0.4109,25.5,240.1,237,1|79,787.9,324.1,0.4114,25.63,474.8,474,1|79,787.9,71.74,0.09105,25.08,480.2,474
1|80,798,13.66,0.01712,24.87,244.6,240,1|80,798,76.2,0.09549,24.84,259.4,240,1|80,798,141.1,0.1768,25.3,242.2,240,1|80,798,323.9,0.4059,25.51,243.1,240,1|80,798,324.5,0.4066,25.61,480.8,480,1|80,798,72.15,0.09041,25.15,486.2,480
1|81,808.1,13.89,0.01718,24.94,247.6,243,1|81,808.1,76.46,0.09462,24.89,262.4,243,1|81,808.1,141.4,0.175,25.3,245.2,243,1|81,808.1,325.7,0.403,25.45,246.1,243,1|81,808.1,326,0.4035,25.57,486.8,486,1|81,808.1,72.41,0.08961,25.08,492.2,486
1|82,818.2,14,0.01711,24.91,250.6,246,1|82,818.2,76.79,0.09386,24.84,265.4,246,1|82,818.2,142,0.1735,25.32,248.2,246,1|82,818.2,329.3,0.4025,25.49,249.1,246,1|82,818.2,328.9,0.402,25.62,492.8,492,1|82,818.2,72.91,0.08911,25.13,498.2,492
1|83,828.3,14.1,0.01702,24.87,253.6,249,1|83,828.3,77.31,0.09334,24.86,268.4,249,1|83,828.3,142.6,0.1722,25.28,251.2,249,1|83,828.3,330.6,0.3991,25.49,252.1,249,1|83,828.3,329.2,0.3974,25.59,498.8,498,1|83,828.3,73.57,0.08882,25.15,504.2,498
1|84,838.4,14.31,0.01707,24.91,256.6,252,1|84,838.4,77.99,0.09303,24.83,271.4,252,1|84,838.4,143.3,0.1709,25.34,254.2,252,1|84,838.4,331.6,0.3956,25.5,255.1,252,1|84,838.4,332.2,0.3962,25.64,504.8,504,1|84,838.4,74.02,0.08829,25.12,510.2,504
1|85,848.5,14.4,0.01698,24.86,259.6,255,1|85,848.5,77.84,0.09174,24.85,274.4,255,1|85,848.5,143.6,0.1692,25.34,257.2,255,1|85,848.5,332.5,0.3919,25.43,258.1,255,1|85,848.5,330.6,0.3896,25.65,510.8,510,1|85,848.5,74.47,0.08776,25.08,516.2,510
1|86,858.6,14.6,0.01701,24.9,262.6,258,1|86,858.6,78.18,0.09106,24.86,277.4,258,1|86,858.6,144.3,0.1681,25.33,260.2,258,1|86,858.6,332.4,0.3871,25.46,261.1,258,1|86,858.6,332.4,0.3871,25.59,516.8,516,1|86,858.6,74.83,0.08716,25.11,522.2,516
1|87,868.7,14.65,0.01686,24.94,265.6,261,1|87,868.7,78.43,0.09028,24.89,280.4,261,1|87,868.7,145.5,0.1675,25.28,263.2,261,1|87,868.7,331.5,0.3816,25.48,264.1,261,1|87,868.7,334,0.3845,25.61,522.8,522,1|87,868.7,75.15,0.08651,25.13,528.2,522
1|88,878.8,14.92,0.01698,24.86,268.6,264,1|88,878.8,78.94,0.08983,24.84,283.4,264,1|88,878.8,146.1,0.1662,25.33,266.2,264,1|88,878.8,332.2,0.378,25.49,267.1,264,1|88,878.8,336.6,0.383,25.64,528.8,528,1|88,878.8,75.47,0.08588,25.13,534.2,528
1|89,888.9,15.04,0.01692,24.91,271.6,267,1|89,888.9,79.13,0.08902,24.83,286.4,267,1|89,888.9,146.9,0.1652,25.35,269.2,267,1|89,888.9,334.2,0.3759,25.47,270.1,267,1|89,888.9,335,0.3769,25.62,534.8,534,1|89,888.9,75.82,0.0853,25.11,540.2,534
1|90,899,15.2,0.0169,24.89,274.6,270,1|90,899,79.3,0.08821,24.83,289.4,270,1|90,899,147.8,0.1644,25.34,272.2,270,1|90,899,338,0.376,25.49,273.1,270,1|90,899,337.8,0.3757,25.64,540.8,540,1|90,899,75.98,0.08451,25.17,546.2,540
1|91,909.1,15.45,0.017,24.89,277.6,273,1|91,909.1,80.02,0.08802,24.84,292.4,273,1|91,909.1,148.3,0.1631,25.33,275.2,273,1|91,909.1,339,0.3729,25.47,276.1,273,1|91,909.1,339.2,0.3731,25.6,546.8,546,1|91,909.1,76.63,0.0843,25.14,552.2,546
1|92,919.2,15.58,0.01695,24.95,280.6,276,1|92,919.2,80.28,0.08734,24.87,295.4,276,1|92,919.2,148.1,0.1611,25.34,278.2,276,1|92,919.2,339.8,0.3697,25.46,279.1,276,1|92,919.2,342,0.3721,25.66,552.8,552,1|92,919.2,76.99,0.08376,25.14,558.2,552
1|93,929.3,15.75,0.01695,24.94,283.6,279,1|93,929.3,80.61,0.08675,24.83,298.4,279,1|93,929.3,148.7,0.16,25.35,281.2,279,1|93,929.3,342.7,0.3687,25.51,282.1,279,1|93,929.3,341.3,0.3672,25.6,558.8,558,1|93,929.3,77.33,0.08322,25.14,564.2,558
1|94,939.4,15.84,0.01686,24.95,286.6,282,1|94,939.4,81.41,0.08667,24.82,301.4,282,1|94,939.4,149.9,0.1596,25.29,284.2,282,1|94,939.4,346.2,0.3685,25.46,285.1,282,1|94,939.4,341.7,0.3637,25.59,564.8,564,1|94,939.4,77.61,0.08262,25.16,570.2,564
1|95,949.5,16.01,0.01686,24.94,289.6,285,1|95,949.5,81.2,0.08552,24.88,304.4,285,1|95,949.5,150.4,0.1584,25.34,287.2,285,1|95,949.5,345.8,0.3642,25.47,288.1,285,1|95,949.5,341.7,0.3599,25.59,570.8,570,1|95,949.5,78.18,0.08233,25.1,576.2,570
1|96,959.6,16.17,0.01685,24.91,292.6,288,1|96,959.6,81.96,0.08541,24.89,307.4,288,1|96,959.6,151.1,0.1575,25.37,290.2,288,1|96,959.6,344.6,0.3591,25.46,291.1,288,1|96,959.6,345.3,0.3598,25.59,576.8,576,1|96,959.6,78.29,0.08159,25.1,582.2,576
1|97,969.7,16.13,0.01664,24.89,295.6,291,1|97,969.7,82.24,0.08481,24.88,310.4,291,1|97,969.7,150.7,0.1554,25.37,293.2,291,1|97,969.7,344.2,0.355,25.53,294.1,291,1|97,969.7,347.8,0.3586,25.63,582.8,582,1|97,969.7,78.97,0.08143,25.1,588.2,582
1|98,979.8,16.28,0.01662,24.88,298.6,294,1|98,979.8,82.83,0.08454,24.91,313.4,294,1|98,979.8,151.8,0.1549,25.36,296.2,294,1|98,979.8,345.1,0.3522,25.46,297.1,294,1|98,979.8,350.2,0.3575,25.61,588.8,588,1|98,979.8,79.41,0.08104,25.18,594.2,588
1|99,989.9,16.47,0.01664,24.95,301.6,297,1|99,989.9,82.72,0.08356,24.81,316.4,297,1|99,989.9,152.9,0.1544,25.29,299.2,297,1|99,989.9,347.1,0.3506,25.53,300.1,297,1|99,989.9,350.4,0.354,25.68,594.8,594,1|99,989.9,79.52,0.08033,25.16,600.2,594
1|100,1000,16.56,0.01656,24.94,304.6,300,1|100,1000,83.12,0.08312,24.87,319.4,300,1|100,1000,153.4,0.1534,25.37,302.2,300,1|100,1000,348.8,0.3488,25.52,303.1,300,1|100,1000,349.3,0.3493,25.66,600.8,600,1|100,1000,79.55,0.07955,25.18,606.2,600
2|1,1000,16.53,0.01653,24.94,307.7,3,2|1,1000,82.89,0.08289,24.88,322.6,3,2|1,1000,153.4,0.1534,25.3,305.4,3,2|1,1000,346.2,0.3462,25.44,306.2,3,2|1,1000,354,0.354,25.61,606.9,6,2|1,1000,80.14,0.08014,25.13,612.4,6
2|2,989.9,16.38,0.01655,24.95,310.7,6,2|2,989.9,82.29,0.08313,24.84,325.6,6,2|2,989.9,152,0.1535,25.38,308.4,6,2|2,989.9,342.2,0.3457,25.44,309.2,6,2|2,989.9,352.2,0.3558,25.67,612.9,12,2|2,989.9,79.86,0.08068,25.17,618.4,12
2|3,979.8,16.14,0.01648,24.94,313.7,9,2|3,979.8,81.55,0.08323,24.87,328.6,9,2|3,979.8,150.8,0.1539,25.32,311.4,9,2|3,979.8,340.7,0.3477,25.54,312.2,9,2|3,979.8,350.6,0.3578,25.66,618.9,18,2|3,979.8,78.76,0.08038,25.11,624.4,18
2|4,969.7,15.94,0.01644,24.89,316.7,12,2|4,969.7,81.13,0.08366,24.81,331.6,12,2|4,969.7,150.2,0.1548,25.29,314.4,12,2|4,969.7,340.5,0.3511,25.52,315.2,12,2|4,969.7,350,0.3609,25.63,624.9,24,2|4,969.7,78.05,0.08049,25.17,630.4,24
2|5,959.6,15.87,0.01653,24.95,319.7,15,2|5,959.6,80.13,0.0835,24.83,334.6,15,2|5,959.6,149.5,0.1558,25.34,317.4,15,2|5,959.6,340.2,0.3545,25.47,318.2,15,2|5,959.6,349.6,0.3643,25.66,630.9,30,2|5,959.6,77.46,0.08072,25.09,636.4,30
2|6,949.5,15.58,0.01641,24.89,322.7,18,2|6,949.5,80.08,0.08434,24.88,337.6,18.01,2|6,949.5,148.8,0.1567,25.34,320.4,18,2|6,949.5,338.4,0.3564,25.51,321.2,18,2|6,949.5,349.8,0.3684,25.67,636.9,36,2|6,949.5,76.9,0.08099,25.14,642.4,36
2|7,939.4,15.44,0.01643,24.92,325.7,21,2|7,939.4,79.3,0.08442,24.86,340.6,21.01,2|7,939.4,148.2,0.1578,25.33,323.4,21,2|7,939.4,339.4,0.3612,25.47,324.2,21,2|7,939.4,349.5,0.372,25.67,642.9,42,2|7,939.4,76.85,0.08181,25.12,648.4,42
2|8,929.3,15.43,0.0166,24.89,328.7,24,2|8,929.3,78.71,0.0847,24.85,343.6,24.01,2|8,929.3,147.2,0.1584,25.34,326.4,24,2|8,929.3,340.3,0.3662,25.44,327.2,24,2|8,929.3,346.1,0.3724,25.67,648.9,48,2|8,929.3,76.01,0.08179,25.16,654.4,48
2|9,919.2,15.3,0.01664,24.9,331.7,27,2|9,919.2,77.87,0.08471,24.85,346.6,27.01,2|9,919.2,146.6,0.1594,25.34,329.4,27,2|9,919.2,340.7,0.3706,25.46,330.2,27,2|9,919.2,347,0.3775,25.68,654.9,54,2|9,919.2,75.4,0.08203,25.12,660.4,54
2|10,909.1,15.06,0.01657,24.88,334.7,30,2|10,909.1,77.05,0.08476,24.9,349.6,30.01,2|10,909.1,145.6,0.1602,25.31,332.4,30,2|10,909.1,339.6,0.3736,25.46,333.2,30,2|10,909.1,345,0.3795,25.62,660.9,60,2|10,909.1,74.85,0.08234,25.16,666.4,60
2|11,899,14.85,0.01652,24.94,337.7,33,2|11,899,76.24,0.0848,24.88,352.6,33.01,2|11,899,145.1,0.1614,25.36,335.4,33,2|11,899,339,0.3771,25.51,336.2,33,2|11,899,345.9,0.3848,25.67,666.9,66,2|11,899,74.39,0.08275,25.18,672.4,66
2|12,888.9,14.68,0.01652,24.92,340.7,36,2|12,888.9,75.33,0.08474,24.86,355.6,36.01,2|12,888.9,144.8,0.1629,25.35,338.4,36,2|12,888.9,336.8,0.3789,25.53,339.2,36,2|12,888.9,344.2,0.3872,25.63,672.9,72,2|12,888.9,73.66,0.08286,25.16,678.4,72
2|13,878.8,14.57,0.01658,24.9,343.7,39,2|13,878.8,74.98,0.08532,24.85,358.6,39.01,2|13,878.8,144.1,0.1639,25.37,341.4,39,2|13,878.8,335.5,0.3818,25.51,342.2,39,2|13,878.8,342.5,0.3897,25.65,678.9,78,2|13,878.8,72.86,0.08291,25.16,684.4,78
2|14,868.7,14.33,0.0165,24.94,346.7,42,2|14,868.7,74.11,0.08531,24.89,361.6,42.01,2|14,868.7,143,0.1646,25.36,344.4,42,2|14,868.7,332.9,0.3833,25.47,345.2,42,2|14,868.7,341.9,0.3936,25.65,684.9,84,2|14,868.7,72.11,0.08301,25.17,690.4,84
2|15,858.6,14.24,0.01659,24.93,349.7,45,2|15,858.6,73.18,0.08523,24.84,364.6,45.01,2|15,858.6,142.5,0.166,25.31,347.4,45,2|15,858.6,329.5,0.3837,25.5,348.2,45,2|15,858.6,337.1,0.3926,25.66,690.9,90,2|15,858.6,71.67,0.08347,25.17,696.4,90
2|16,848.5,14,0.0165,24.89,352.7,48,2|16,848.5,72.62,0.08559,24.82,367.6,48.01,2|16,848.5,141.8,0.1671,25.31,350.4,48,2|16,848.5,327.2,0.3856,25.48,351.2,48,2|16,848.5,338.3,0.3987,25.65,696.9,96,2|16,848.5,71.11,0.08381,25.14,702.4,96
2|17,838.4,13.87,0.01655,24.92,355.7,51,2|17,838.4,72.47,0.08644,24.83,370.6,51.01,2|17,838.4,141,0.1681,25.37,353.4,51,2|17,838.4,326,0.3888,25.49,354.2,51,2|17,838.4,337.8,0.4029,25.67,702.9,102,2|17,838.4,71.09,0.08479,25.13,708.4,102
2|18,828.3,13.71,0.01655,24.93,358.7,54,2|18,828.3,72.1,0.08705,24.83,373.6,54.01,2|18,828.3,139.6,0.1685,25.31,356.4,54,2|18,828.3,325.4,0.3929,25.49,357.2,54,2|18,828.3,336.1,0.4058,25.64,708.9,108,2|18,828.3,70.38,0.08497,25.12,714.4,108
2|19,818.2,13.52,0.01653,24.94,361.7,57,2|19,818.2,71.47,0.08735,24.84,376.6,57.01,2|19,818.2,138.6,0.1694,25.34,359.4,57,2|19,818.2,324.2,0.3962,25.5,360.2,57,2|19,818.2,335.4,0.4099,25.68,714.9,114,2|19,818.2,70.01,0.08557,25.14,720.4,114
2|20,808.1,13.35,0.01653,24.94,364.7,60,2|20,808.1,70.87,0.0877,24.86,379.6,60.01,2|20,808.1,137.8,0.1706,25.36,362.4,60,2|20,808.1,323.6,0.4005,25.46,363.2,60,2|20,808.1,332.7,0.4116,25.66,720.9,120,2|20,808.1,69.7,0.08626,25.17,726.4,120
2|21,798,13.19,0.01653,24.95,367.7,63,2|21,798,70.31,0.08811,24.9,382.6,63.01,2|21,798,137.2,0.1719,25.33,365.4,63,2|21,798,322.4,0.404,25.5,366.2,63,2|21,798,332.2,0.4163,25.63,726.9,126,2|21,798,68.99,0.08646,25.12,732.4,126
2|22,787.9,13.04,0.01655,24.91,370.7,66,2|22,787.9,69.76,0.08854,24.87,385.6,66.01,2|22,787.9,136.5,0.1732,25.38,368.4,66,2|22,787.9,322.1,0.4088,25.52,369.2,66,2|22,787.9,328.1,0.4165,25.62,733,132,2|22,787.9,68.27,0.08664,25.19,738.4,132
2|23,777.8,12.85,0.01652,24.93,373.7,69,2|23,777.8,69.15,0.08891,24.9,388.6,69.01,2|23,777.8,136,0.1748,25.37,371.4,69,2|23,777.8,322.4,0.4145,25.51,372.2,69,2|23,777.8,329.8,0.424,25.67,739,138,2|23,777.8,68.04,0.08748,25.12,744.4,138
2|24,767.7,12.7,0.01655,24.95,376.7,72,2|24,767.7,68.57,0.08932,24.84,391.6,72.01,2|24,767.7,135.1,0.1759,25.36,374.4,72.01,2|24,767.7,322.3,0.4198,25.49,375.2,72,2|24,767.7,328.2,0.4276,25.68,745,144,2|24,767.7,67.54,0.08797,25.18,750.4,144
2|25,757.6,12.51,0.01651,24.93,379.7,75,2|25,757.6,68.01,0.08977,24.9,394.6,75.01,2|25,757.6,134.5,0.1775,25.32,377.4,75.01,2|25,757.6,320.9,0.4236,25.53,378.2,75,2|25,757.6,327.1,0.4317,25.65,751,150,2|25,757.6,66.68,0.08801,25.18,756.4,150
2|26,747.5,12.34,0.01651,24.89,382.7,78,2|26,747.5,67.45,0.09023,24.83,397.6,78.01,2|26,747.5,133.7,0.1789,25.36,380.4,78.01,2|26,747.5,318.9,0.4266,25.48,381.2,78,2|26,747.5,324.5,0.4341,25.7,757,156,2|26,747.5,66.03,0.08833,25.14,762.4,156
2|27,737.4,12.15,0.01648,24.89,385.7,81,2|27,737.4,66.79,0.09057,24.83,400.6,81.01,2|27,737.4,132.6,0.1798,25.31,383.4,81.01,2|27,737.4,317.7,0.4308,25.5,384.2,81,2|27,737.4,321.3,0.4357,25.66,763,162,2|27,737.4,65.53,0.08887,25.16,768.4,162
2|28,727.3,11.99,0.01649,24.91,388.7,84,2|28,727.3,66.27,0.09111,24.86,403.6,84.01,2|28,727.3,131.7,0.181,25.37,386.4,84.01,2|28,727.3,316.7,0.4355,25.51,387.2,84,2|28,727.3,320.2,0.4402,25.69,769,168,2|28,727.3,64.93,0.08927,25.17,774.4,168
2|29,717.2,11.85,0.01652,24.91,391.7,87,2|29,717.2,65.6,0.09146,24.84,406.6,87.01,2|29,717.2,130.6,0.182,25.36,389.4,87.01,2|29,717.2,316.1,0.4407,25.48,390.2,87,2|29,717.2,320.8,0.4473,25.65,775,174,2|29,717.2,64.35,0.08972,25.14,780.4,174
2|30,707.1,11.72,0.01657,24.94,394.7,90,2|30,707.1,65.05,0.092,24.86,409.6,90.01,2|30,707.1,129.8,0.1836,25.33,392.4,90.01,2|30,707.1,315.5,0.4462,25.49,393.2,90,2|30,707.1,319.6,0.452,25.65,781,180,2|30,707.1,63.82,0.09026,25.16,786.4,180
2|31,697,11.56,0.01659,24.91,397.7,93,2|31,697,64.33,0.09229,24.87,412.6,93.01,2|31,697,129.3,0.1854,25.34,395.4,93.01,2|31,697,314.8,0.4517,25.51,396.2,93,2|31,697,319,0.4576,25.68,787,186,2|31,697,63.26,0.09076,25.16,792.4,186
2|32,686.9,11.39,0.01658,24.94,400.7,96,2|32,686.9,63.76,0.09282,24.86,415.6,96.01,2|32,686.9,128.6,0.1873,25.36,398.4,96.01,2|32,686.9,313.9,0.457,25.5,399.2,96,2|32,686.9,318.4,0.4635,25.67,793,192,2|32,686.9,62.74,0.09133,25.16,798.4,192
2|33,676.8,11.27,0.01666,24.93,403.7,99,2|33,676.8,62.98,0.09306,24.87,418.6,99.01,2|33,676.8,128,0.1891,25.33,401.4,99.01,2|33,676.8,312.6,0.4619,25.51,402.2,99,2|33,676.8,317.8,0.4696,25.67,799,198,2|33,676.8,62.43,0.09224,25.14,804.4,198
2|34,666.7,11.02,0.01653,24.91,406.7,102,2|34,666.7,62.2,0.0933,24.87,421.6,102,2|34,666.7,127.3,0.1909,25.35,404.4,102,2|34,666.7,312.2,0.4683,25.51,405.2,102,2|34,666.7,316.8,0.4752,25.69,805,204,2|34,666.7,61.79,0.09268,25.15,810.4,204
2|35,656.6,10.93,0.01665,24.95,409.7,105,2|35,656.6,61.55,0.09373,24.88,424.6,105,2|35,656.6,126.5,0.1927,25.36,407.4,105,2|35,656.6,310.5,0.4729,25.5,408.2,105,2|35,656.6,315.7,0.4808,25.68,811,210,2|35,656.6,61.18,0.09317,25.18,816.4,210
2|36,646.5,10.73,0.0166,24.92,412.7,108,2|36,646.5,60.97,0.0943,24.87,427.6,108,2|36,646.5,125.3,0.1939,25.34,410.4,108,2|36,646.5,309,0.4779,25.51,411.2,108,2|36,646.5,314.7,0.4868,25.68,817,216,2|36,646.5,60.54,0.09365,25.16,822.4,216
2|37,636.4,10.62,0.01668,24.92,415.7,111,2|37,636.4,60.35,0.09483,24.86,430.6,111,2|37,636.4,124.5,0.1957,25.36,413.4,111,2|37,636.4,307.9,0.4838,25.5,414.2,111,2|37,636.4,313.6,0.4927,25.66,823,222,2|37,636.4,59.92,0.09416,25.18,828.4,222
2|38,626.3,10.46,0.01671,24.94,418.7,114,2|38,626.3,59.79,0.09547,24.86,433.6,114,2|38,626.3,123.6,0.1973,25.35,416.4,114,2|38,626.3,306.7,0.4897,25.51,417.2,114,2|38,626.3,312.6,0.4991,25.68,829,228,2|38,626.3,59.39,0.09482,25.18,834.4,228
2|39,616.2,10.3,0.01671,24.92,421.7,117,2|39,616.2,59.18,0.09604,24.89,436.6,117,2|39,616.2,122.8,0.1993,25.35,419.4,117,2|39,616.2,304.8,0.4947,25.51,420.2,117,2|39,616.2,310.5,0.504,25.68,835,234,2|39,616.2,58.76,0.09536,25.18,840.4,234
2|40,606.1,10.18,0.01679,24.92,424.7,120,2|40,606.1,58.49,0.0965,24.86,439.6,120,2|40,606.1,121.9,0.2011,25.36,422.4,120,2|40,606.1,303.2,0.5002,25.52,423.2,120,2|40,606.1,309.4,0.5105,25.67,841,240,2|40,606.1,58.28,0.09616,25.18,846.4,240
2|41,596,9.99,0.01676,24.91,427.7,123,2|41,596,57.99,0.0973,24.87,442.6,123,2|41,596,121,0.2031,25.34,425.4,123,2|41,596,301.4,0.5057,25.51,426.2,123,2|41,596,308.4,0.5174,25.67,847,246,2|41,596,57.78,0.09695,25.18,852.4,246
2|42,585.9,9.91,0.01691,24.93,430.7,126,2|42,585.9,57.44,0.09804,24.88,445.6,126,2|42,585.9,120.1,0.205,25.34,428.4,126,2|42,585.9,299.4,0.511,25.52,429.2,126,2|42,585.9,307,0.524,25.67,853,252,2|42,585.9,56.99,0.09726,25.16,858.4,252
2|43,575.8,9.725,0.01689,24.93,433.7,129,2|43,575.8,56.76,0.09857,24.86,448.6,129,2|43,575.8,119,0.2067,25.34,431.4,129,2|43,575.8,297.9,0.5173,25.51,432.2,129,2|43,575.8,305,0.5298,25.67,859,258,2|43,575.8,56.58,0.09826,25.18,864.4,258
2|44,565.7,9.492,0.01678,24.91,436.7,132,2|44,565.7,56.16,0.09928,24.87,451.6,132,2|44,565.7,118.3,0.2091,25.35,434.4,132,2|44,565.7,295.9,0.523,25.52,435.2,132,2|44,565.7,303.3,0.5361,25.68,865,264,2|44,565.7,55.91,0.09883,25.18,870.4,264
2|45,555.6,9.525,0.01714,24.93,439.7,135,2|45,555.6,55.52,0.09993,24.88,454.6,135,2|45,555.6,117.2,0.2109,25.35,437.4,135,2|45,555.6,293.8,0.5288,25.52,438.2,135,2|45,555.6,299.8,0.5396,25.67,871,270,2|45,555.6,55.29,0.09952,25.19,876.4,270
2|46,545.5,9.292,0.01703,24.93,442.7,138,2|46,545.5,54.73,0.1003,24.87,457.6,138,2|46,545.5,115.8,0.2123,25.36,440.4,138,2|46,545.5,292.2,0.5356,25.5,441.2,138,2|46,545.5,296.5,0.5436,25.67,877,276,2|46,545.5,54.67,0.1002,25.16,882.4,276
2|47,535.4,9.094,0.01699,24.92,445.7,141,2|47,535.4,54.09,0.101,24.87,460.6,141,2|47,535.4,114.6,0.2141,25.35,443.4,141,2|47,535.4,290.5,0.5426,25.51,444.2,141,2|47,535.4,293.7,0.5485,25.67,883,282,2|47,535.4,54.03,0.1009,25.18,888.4,282
2|48,525.3,9.123,0.01737,24.93,448.7,144,2|48,525.3,53.54,0.1019,24.88,463.6,144,2|48,525.3,113.7,0.2165,25.36,446.4,144,2|48,525.3,288.9,0.5499,25.51,447.2,144,2|48,525.3,291.7,0.5554,25.67,889,288,2|48,525.3,53.38,0.1016,25.17,894.4,288
2|49,515.2,9.006,0.01748,24.92,451.7,147,2|49,515.2,52.83,0.1025,24.87,466.6,147,2|49,515.2,112.7,0.2188,25.35,449.4,147,2|49,515.2,287.5,0.558,25.51,450.2,147,2|49,515.2,288.8,0.5605,25.68,895,294,2|49,515.2,52.63,0.1022,25.18,900.4,294
2|50,505.1,8.762,0.01735,24.92,454.7,150,2|50,505.1,52.31,0.1036,24.88,469.6,150,2|50,505.1,111.7,0.2211,25.35,452.4,150,2|50,505.1,285.9,0.5659,25.53,453.2,150,2|50,505.1,292.5,0.5791,25.67,901,300,2|50,505.1,52.04,0.103,25.18,906.4,300
2|51,495,8.768,0.01771,24.93,457.7,153,2|51,495,51.88,0.1048,24.88,472.6,153,2|51,495,110.7,0.2235,25.35,455.4,153,2|51,495,284.1,0.574,25.52,456.2,153,2|51,495,290.6,0.587,25.68,907,306,2|51,495,51.25,0.1035,25.18,912.4,306
2|52,484.9,8.627,0.01779,24.94,460.7,156,2|52,484.9,51.41,0.106,24.88,475.6,156,2|52,484.9,109.5,0.2258,25.35,458.4,156,2|52,484.9,282.3,0.5821,25.51,459.2,156,2|52,484.9,289.7,0.5975,25.67,913,312,2|52,484.9,50.53,0.1042,25.19,918.4,312
2|53,474.8,8.355,0.0176,24.93,463.7,159,2|53,474.8,50.78,0.1069,24.88,478.6,159,2|53,474.8,108.2,0.2279,25.35,461.4,159,2|53,474.8,280.2,0.5901,25.53,462.2,159,2|53,474.8,288.5,0.6076,25.69,919,318,2|53,474.8,49.98,0.1053,25.18,924.4,318
2|54,464.7,8.4,0.01808,24.92,466.7,162,2|54,464.7,50.08,0.1078,24.88,481.6,162,2|54,464.7,107.4,0.231,25.36,464.4,162,2|54,464.7,278.5,0.5993,25.52,465.2,162,2|54,464.7,286.7,0.617,25.67,925,324,2|54,464.7,49.31,0.1061,25.19,930.4,324
